Window_Index,Min_Probability,Max_Probability,Avg_Probability
123,0.0,9.2,1.6266666666666665
124,0.0,9.4,1.6266666666666665
125,0.0,9.0,1.5733333333333333
126,0.0,6.4,1.3866666666666667
127,0.0,6.0,1.3066666666666666
128,0.0,5.800000000000001,1.2266666666666668
129,0.0,5.800000000000001,0.9866666666666668
130,0.0,5.6000000000000005,0.9333333333333335
131,0.0,5.4,0.8
132,0.0,5.4,0.7466666666666667
133,0.0,5.4,0.72
134,0.0,4.3999999999999995,0.6133333333333334
135,0.0,4.3999999999999995,0.5866666666666667
136,0.0,4.3999999999999995,0.5466666666666667
137,0.0,4.3999999999999995,0.5333333333333334
138,0.0,3.5999999999999996,0.46666666666666673
139,0.0,3.4000000000000004,0.45333333333333337
140,0.0,3.4000000000000004,0.4266666666666667
141,0.0,3.4000000000000004,0.41333333333333333
142,0.0,3.4000000000000004,0.4
143,0.0,3.4000000000000004,0.4
144,0.0,3.4000000000000004,0.41333333333333333
145,0.0,3.4000000000000004,0.41333333333333333
146,0.0,3.4000000000000004,0.41333333333333333
147,0.0,3.4000000000000004,0.41333333333333333
148,0.0,3.4000000000000004,0.4
149,0.0,3.2,0.38666666666666666
150,0.0,3.2,0.38666666666666666
151,0.0,3.2,0.4
152,0.0,3.4000000000000004,0.41333333333333333
153,0.0,3.4000000000000004,0.41333333333333333
154,0.0,3.4000000000000004,0.4
155,0.0,4.3999999999999995,0.4933333333333333
156,0.0,4.3999999999999995,0.46666666666666673
157,0.0,4.0,0.44
158,0.0,2.6,0.33333333333333337
159,0.0,2.6,0.33333333333333337
160,0.0,2.4,0.32
161,0.0,2.1999999999999997,0.29333333333333333
162,0.0,1.2,0.2
163,0.0,1.2,0.18666666666666668
164,0.0,0.6,0.13333333333333333
165,0.0,0.6,0.09333333333333334
166,0.0,0.6,0.08
167,0.0,0.6,0.08
168,0.0,0.6,0.08
169,0.0,0.4,0.06666666666666667
170,0.0,0.4,0.06666666666666667
171,0.0,0.4,0.04
172,0.0,0.4,0.04
173,0.0,0.4,0.04
174,0.0,0.4,0.04
175,0.0,0.4,0.04
176,0.0,0.4,0.04
177,0.0,0.4,0.04
178,0.0,0.4,0.04
179,0.0,0.4,0.04
180,0.0,0.4,0.04
181,0.0,0.4,0.04
182,0.0,0.4,0.04
183,0.0,0.4,0.04
184,0.0,0.4,0.04
185,0.0,0.4,0.04
186,0.0,0.4,0.04
187,0.0,0.4,0.04
188,0.0,0.4,0.04
189,0.0,0.4,0.02666666666666667
190,0.0,0.4,0.02666666666666667
191,0.0,0.4,0.02666666666666667
192,0.0,0.4,0.02666666666666667
193,0.0,0.4,0.02666666666666667
194,0.0,0.4,0.02666666666666667
195,0.0,0.4,0.02666666666666667
196,0.0,0.4,0.02666666666666667
197,0.0,0.4,0.02666666666666667
198,0.0,0.4,0.05333333333333334
199,0.0,0.4,0.05333333333333334
200,0.0,0.4,0.05333333333333334
201,0.0,0.4,0.05333333333333334
